rank=7: alpha=1.60e+01, train loss: 2.26e-01 | test loss: 2.50e+00 | time = 00:00:48
rank=2: alpha=5.00e-01, train loss: 5.36e-03 | test loss: 6.89e-01 | time = 00:00:51
rank=6: alpha=8.00e+00, train loss: 1.14e-01 | test loss: 2.19e+00 | time = 00:00:48
rank=8: alpha=3.20e+01, train loss: 3.73e-01 | test loss: 2.71e+00 | time = 00:00:58
rank=5: alpha=4.00e+00, train loss: 5.48e-02 | test loss: 1.84e+00 | time = 00:00:58
rank=4: alpha=2.00e+00, train loss: 2.58e-02 | test loss: 1.44e+00 | time = 00:00:58
rank=3: alpha=1.00e+00, train loss: 1.19e-02 | test loss: 1.05e+00 | time = 00:00:59
rank=0: alpha=3.12e-02, train loss: 2.03e+00 | test loss: 2.34e+00 | time = 00:01:03
rank=1: alpha=2.50e-01, train loss: 2.26e-03 | test loss: 3.87e-01 | time = 00:01:03
total_time=00:01:08
rank=4: alpha=2.00e+00, train loss: 2.58e-02 | test loss: 1.44e+00 | time = 00:00:51
rank=5: alpha=4.00e+00, train loss: 5.48e-02 | test loss: 1.84e+00 | time = 00:00:50
rank=7: alpha=1.60e+01, train loss: 2.26e-01 | test loss: 2.50e+00 | time = 00:00:50
rank=0: alpha=3.12e-02, train loss: 2.03e+00 | test loss: 2.34e+00 | time = 00:00:53
rank=3: alpha=1.00e+00, train loss: 1.19e-02 | test loss: 1.05e+00 | time = 00:00:53
rank=6: alpha=8.00e+00, train loss: 1.14e-01 | test loss: 2.19e+00 | time = 00:00:48
rank=1: alpha=2.50e-01, train loss: 2.26e-03 | test loss: 3.87e-01 | time = 00:00:52
rank=2: alpha=5.00e-01, train loss: 5.36e-03 | test loss: 6.89e-01 | time = 00:00:53
rank=8: alpha=3.20e+01, train loss: 3.73e-01 | test loss: 2.71e+00 | time = 00:00:48
total_time=00:01:03
rank=1: alpha=2.50e-01, train loss: 2.26e-03 | test loss: 3.87e-01 | time = 00:00:51
rank=6: alpha=8.00e+00, train loss: 1.14e-01 | test loss: 2.19e+00 | time = 00:00:49
rank=8: alpha=3.20e+01, train loss: 3.73e-01 | test loss: 2.71e+00 | time = 00:00:50
rank=7: alpha=1.60e+01, train loss: 2.26e-01 | test loss: 2.50e+00 | time = 00:00:50
rank=5: alpha=4.00e+00, train loss: 5.48e-02 | test loss: 1.84e+00 | time = 00:00:50
rank=2: alpha=5.00e-01, train loss: 5.36e-03 | test loss: 6.89e-01 | time = 00:00:54
rank=4: alpha=2.00e+00, train loss: 2.58e-02 | test loss: 1.44e+00 | time = 00:00:54
rank=0: alpha=3.12e-02, train loss: 2.03e+00 | test loss: 2.34e+00 | time = 00:00:54
rank=3: alpha=1.00e+00, train loss: 1.19e-02 | test loss: 1.05e+00 | time = 00:00:55
total_time=00:00:57
